,Unnamed: 0,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,pymnt_plan,purpose,addr_state,dti,delinq_2yrs,earliest_cr_line,fico_range_low,fico_range_high,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,revol_bal_joint,sec_app_fico_range_low,sec_app_fico_range_high,sec_app_earliest_cr_line,sec_app_inq_last_6mths,sec_app_mort_acc,sec_app_open_acc,sec_app_revol_util,sec_app_open_act_il,sec_app_num_rev_accts,sec_app_chargeoff_within_12_mths,sec_app_collections_12_mths_ex_med,sec_app_mths_since_last_major_derog,hardship_flag,hardship_reason,payment_plan_start_date,orig_projected_additional_accrued_interest,disbursement_method,debt_settlement_flag,debt_settlement_flag_date,settlement_status,settlement_date,settlement_amount,settlement_percentage,settlement_term
6210,6210,12000.0,12000.0,12000.0, 60 months,17.27,299.98,D,D3,Sr. Relay Engineer,8 years,MORTGAGE,113000.0,Not Verified,Dec-2015,n,debt_consolidation,TN,10.93,0.0,Nov-1999,670.0,674.0,1.0,,,9.0,0.0,21475.0,79.0,17.0,w,Mar-2019,0.0,,1.0,Individual,,,,0.0,0.0,380044.0,3.0,2.0,0.0,1.0,14.0,47251.0,93.0,2.0,5.0,9365.0,88.0,27200.0,2.0,1.0,3.0,8.0,42227.0,2825.0,88.4,0.0,0.0,193.0,171.0,3.0,3.0,6.0,3.0,,4.0,,0.0,5.0,5.0,5.0,5.0,4.0,6.0,7.0,5.0,9.0,0.0,0.0,0.0,3.0,100.0,80.0,0.0,0.0,390955.0,68726.0,24300.0,50620.0,,,,,,,,,,,,,,N,,,,Cash,N,,,,,,
7723,7723,17700.0,17700.0,17700.0, 36 months,16.55,627.1,D,D2,,,MORTGAGE,53000.0,Verified,Dec-2015,n,credit_card,NY,23.48,0.0,Jan-2002,660.0,664.0,0.0,,,8.0,0.0,38599.0,98.0,9.0,w,Jul-2018,0.0,,1.0,Individual,,,,0.0,0.0,82588.0,0.0,1.0,1.0,1.0,11.0,9389.0,78.0,3.0,5.0,14721.0,93.0,39400.0,0.0,0.0,0.0,6.0,10324.0,801.0,98.0,0.0,0.0,127.0,127.0,8.0,8.0,1.0,8.0,,,,0.0,6.0,6.0,6.0,6.0,2.0,6.0,6.0,6.0,8.0,0.0,0.0,0.0,4.0,100.0,100.0,0.0,0.0,123650.0,47988.0,39400.0,12000.0,,,,,,,,,,,,,,N,,,,Cash,N,,,,,,
2578,2578,32750.0,32750.0,32750.0, 60 months,20.5,876.82,E,E4,manager,4 years,RENT,78000.0,Source Verified,Dec-2015,n,debt_consolidation,GA,25.43,1.0,Aug-2002,670.0,674.0,1.0,3.0,,18.0,0.0,34011.0,62.3,38.0,w,May-2018,0.0,,1.0,Individual,,,,0.0,0.0,276522.0,2.0,4.0,0.0,1.0,13.0,89323.0,105.0,3.0,5.0,7272.0,81.0,54600.0,0.0,0.0,2.0,6.0,17283.0,12104.0,64.2,0.0,0.0,160.0,154.0,3.0,3.0,3.0,3.0,,5.0,,0.0,4.0,6.0,6.0,10.0,16.0,13.0,19.0,7.0,18.0,0.0,0.0,0.0,3.0,100.0,33.3,0.0,0.0,327554.0,123334.0,33800.0,93504.0,,,,,,,,,,,,,,N,,,,Cash,N,,,,,,
5772,5772,20800.0,20800.0,20800.0, 60 months,11.99,462.58,C,C1,"Senior Director, International",10+ years,RENT,141000.0,Source Verified,Dec-2015,n,debt_consolidation,NY,18.23,0.0,Feb-2001,675.0,679.0,0.0,41.0,,16.0,0.0,23155.0,73.3,27.0,w,Sep-2017,0.0,,1.0,Individual,,,,0.0,0.0,166246.0,2.0,7.0,2.0,5.0,2.0,125565.0,89.0,0.0,4.0,7854.0,80.0,31600.0,0.0,0.0,2.0,9.0,10390.0,6745.0,77.4,0.0,0.0,130.0,175.0,14.0,2.0,0.0,14.0,41.0,7.0,41.0,0.0,6.0,6.0,6.0,10.0,7.0,8.0,17.0,6.0,16.0,0.0,0.0,0.0,2.0,92.6,83.3,0.0,0.0,204301.0,166246.0,29900.0,146886.0,,,,,,,,,,,,,,N,,,,Cash,N,,,,,,
5002,5002,5150.0,5150.0,5150.0, 36 months,15.77,180.48,D,D1,,,MORTGAGE,20200.0,Verified,Dec-2015,n,debt_consolidation,FL,26.62,0.0,Sep-1991,665.0,669.0,0.0,,64.0,6.0,1.0,2256.0,39.6,15.0,w,Mar-2019,0.0,,1.0,Individual,,,,0.0,0.0,15205.0,0.0,2.0,1.0,2.0,7.0,12949.0,83.0,0.0,1.0,1655.0,71.0,5700.0,0.0,2.0,1.0,3.0,2534.0,1244.0,64.5,0.0,0.0,90.0,291.0,18.0,7.0,3.0,51.0,,8.0,,0.0,2.0,2.0,2.0,4.0,3.0,4.0,9.0,2.0,6.0,0.0,0.0,0.0,1.0,100.0,0.0,1.0,0.0,21400.0,15205.0,3500.0,15700.0,,,,,,,,,,,,,,N,,,,Cash,N,,,,,,
4491,4491,10000.0,10000.0,10000.0, 36 months,9.8,321.74,B,B3,Warehouse Manager,1 year,MORTGAGE,100000.0,Verified,Dec-2015,n,car,WA,8.41,1.0,Dec-1989,680.0,684.0,1.0,4.0,,11.0,0.0,13147.0,34.4,23.0,w,Dec-2018,0.0,,1.0,Individual,,,,0.0,180.0,525322.0,1.0,1.0,1.0,1.0,6.0,7480.0,88.0,0.0,1.0,7314.0,44.0,38200.0,3.0,0.0,1.0,3.0,52532.0,21168.0,36.2,0.0,0.0,50.0,312.0,20.0,6.0,6.0,20.0,29.0,5.0,29.0,0.0,3.0,4.0,5.0,8.0,2.0,6.0,15.0,4.0,11.0,0.0,0.0,0.0,1.0,91.3,25.0,0.0,0.0,587335.0,20627.0,33200.0,8500.0,,,,,,,,,,,,,,N,,,,Cash,N,,,,,,
4639,4639,1200.0,1200.0,1200.0, 36 months,12.88,40.37,C,C2,,,RENT,30000.0,Source Verified,Dec-2015,n,other,AZ,16.36,0.0,Apr-2004,660.0,664.0,0.0,36.0,104.0,6.0,1.0,2917.0,76.8,14.0,w,Mar-2018,0.0,36.0,1.0,Individual,,,,0.0,0.0,8403.0,0.0,2.0,2.0,2.0,7.0,5486.0,77.0,1.0,2.0,1219.0,77.0,3800.0,0.0,8.0,4.0,4.0,1401.0,824.0,62.5,0.0,0.0,140.0,75.0,8.0,7.0,0.0,8.0,36.0,5.0,36.0,1.0,2.0,3.0,3.0,3.0,9.0,4.0,5.0,3.0,6.0,0.0,0.0,0.0,3.0,78.6,33.3,1.0,0.0,10964.0,8403.0,2200.0,7164.0,,,,,,,,,,,,,,N,,,,Cash,N,,,,,,
5794,5794,16000.0,16000.0,16000.0, 60 months,12.88,363.07,C,C2,AVP Insurance Solutions,2 years,MORTGAGE,160000.0,Source Verified,Dec-2015,n,debt_consolidation,PA,31.57,0.0,Jun-1997,685.0,689.0,1.0,,,19.0,0.0,26978.0,69.4,57.0,w,Dec-2018,0.0,,1.0,Individual,,,,0.0,0.0,395488.0,1.0,9.0,2.0,4.0,6.0,85191.0,41.0,2.0,4.0,13203.0,50.0,38900.0,0.0,0.0,4.0,10.0,20815.0,5251.0,74.6,0.0,0.0,143.0,222.0,9.0,6.0,6.0,18.0,,6.0,,0.0,2.0,6.0,3.0,11.0,20.0,7.0,29.0,6.0,19.0,0.0,0.0,0.0,5.0,100.0,66.7,0.0,0.0,482295.0,124405.0,20700.0,150244.0,,,,,,,,,,,,,,N,,,,Cash,N,,,,,,
9927,9927,18000.0,18000.0,17750.0, 36 months,8.38,567.22,B,B1,Ownee,10+ years,RENT,95000.0,Not Verified,Dec-2015,n,credit_card,CA,20.5,0.0,May-1991,670.0,674.0,0.0,,,25.0,0.0,29252.0,42.7,40.0,w,Dec-2018,0.0,,1.0,Individual,,,,0.0,114.0,45378.0,3.0,2.0,0.0,0.0,37.0,16126.0,36.0,3.0,4.0,7050.0,40.0,68500.0,0.0,1.0,0.0,4.0,1815.0,9245.0,69.6,0.0,0.0,178.0,295.0,2.0,2.0,0.0,4.0,,15.0,,0.0,6.0,12.0,8.0,11.0,8.0,23.0,32.0,13.0,25.0,0.0,0.0,0.0,3.0,100.0,75.0,0.0,0.0,112954.0,45378.0,30400.0,44454.0,,,,,,,,,,,,,,N,,,,Cash,N,,,,,,
6743,6743,8000.0,8000.0,8000.0, 36 months,6.49,245.16,A,A2,,,RENT,50000.0,Verified,Dec-2015,n,other,KS,22.83,0.0,Jan-1971,740.0,744.0,0.0,25.0,,17.0,0.0,18632.0,26.4,44.0,w,Dec-2018,0.0,,1.0,Individual,,,,0.0,0.0,21402.0,0.0,1.0,1.0,1.0,8.0,2770.0,19.0,1.0,3.0,9424.0,25.0,70700.0,0.0,0.0,0.0,4.0,1338.0,30840.0,37.4,0.0,0.0,99.0,539.0,8.0,8.0,6.0,14.0,,14.0,25.0,0.0,5.0,8.0,7.0,22.0,4.0,16.0,34.0,8.0,17.0,0.0,0.0,0.0,2.0,97.7,28.6,0.0,0.0,85700.0,21402.0,49300.0,15000.0,,,,,,,,,,,,,,N,,,,Cash,N,,,,,,
2481,2481,24150.0,24150.0,24150.0, 60 months,21.48,659.88,E,E5,Teacher,6 years,RENT,57500.0,Verified,Dec-2015,n,debt_consolidation,TX,22.6,0.0,Dec-1987,675.0,679.0,0.0,,75.0,9.0,1.0,5202.0,70.3,37.0,w,Mar-2019,0.0,,1.0,Individual,,,,0.0,0.0,33599.0,1.0,3.0,2.0,5.0,6.0,28397.0,78.0,1.0,3.0,1913.0,77.0,7400.0,0.0,0.0,0.0,8.0,3733.0,1364.0,69.0,0.0,0.0,132.0,336.0,12.0,6.0,1.0,40.0,,18.0,,0.0,2.0,5.0,3.0,8.0,17.0,6.0,19.0,5.0,9.0,0.0,0.0,0.0,3.0,100.0,66.7,1.0,0.0,43842.0,33599.0,4400.0,36442.0,,,,,,,,,,,,,,N,,,,Cash,N,,,,,,
5326,5326,18000.0,18000.0,18000.0, 60 months,11.99,400.31,C,C1,Realtor,8 years,RENT,95000.0,Not Verified,Dec-2015,n,debt_consolidation,FL,8.98,0.0,Mar-2005,710.0,714.0,0.0,70.0,70.0,6.0,1.0,5983.0,37.6,15.0,w,Apr-2017,0.0,,1.0,Individual,,,,0.0,0.0,21142.0,1.0,1.0,1.0,1.0,4.0,15159.0,86.0,0.0,0.0,3179.0,63.0,15900.0,0.0,0.0,1.0,1.0,3524.0,9917.0,37.6,0.0,0.0,127.0,60.0,49.0,4.0,1.0,49.0,,4.0,,0.0,5.0,5.0,5.0,6.0,8.0,5.0,6.0,5.0,6.0,0.0,0.0,0.0,1.0,93.3,40.0,1.0,0.0,33504.0,21142.0,15900.0,17604.0,,,,,,,,,,,,,,N,,,,Cash,N,,,,,,
7853,7853,5950.0,5950.0,5950.0, 36 months,9.17,189.68,B,B2,owner,3 years,RENT,30000.0,Source Verified,Dec-2015,n,credit_card,UT,18.64,0.0,May-1988,690.0,694.0,0.0,,116.0,5.0,1.0,5958.0,41.4,9.0,w,May-2018,0.0,,1.0,Individual,,,,0.0,0.0,22219.0,0.0,1.0,1.0,1.0,12.0,16261.0,87.0,0.0,0.0,2933.0,67.0,14400.0,0.0,4.0,0.0,1.0,5555.0,8442.0,41.4,0.0,0.0,148.0,331.0,82.0,12.0,0.0,82.0,,,,0.0,3.0,3.0,3.0,3.0,5.0,4.0,4.0,3.0,5.0,0.0,0.0,0.0,1.0,100.0,33.3,1.0,0.0,33199.0,22219.0,14400.0,18799.0,,,,,,,,,,,,,,N,,,,Cash,N,,,,,,
381,381,16000.0,16000.0,16000.0, 36 months,7.91,500.72,A,A5,lead operator,< 1 year,MORTGAGE,50000.0,Not Verified,Dec-2015,n,debt_consolidation,KY,24.41,0.0,Aug-2004,715.0,719.0,0.0,,,9.0,0.0,12638.0,64.8,22.0,w,Aug-2018,0.0,,1.0,Individual,,,,0.0,0.0,106144.0,0.0,2.0,0.0,1.0,18.0,35938.0,69.0,0.0,1.0,4366.0,68.0,19500.0,0.0,1.0,0.0,2.0,13268.0,4660.0,71.8,0.0,0.0,136.0,112.0,18.0,18.0,2.0,42.0,,18.0,,0.0,4.0,5.0,5.0,5.0,14.0,6.0,6.0,5.0,9.0,0.0,0.0,0.0,0.0,100.0,25.0,0.0,0.0,134618.0,48576.0,16500.0,52278.0,,,,,,,,,,,,,,N,,,,Cash,N,,,,,,
6175,6175,2000.0,2000.0,2000.0, 36 months,10.78,65.27,B,B4,Teacher,5 years,RENT,25000.0,Source Verified,Dec-2015,n,other,WA,26.69,0.0,Dec-2008,665.0,669.0,0.0,,,8.0,0.0,12190.0,73.9,8.0,w,Jan-2019,0.0,,1.0,Individual,,,,0.0,0.0,13404.0,0.0,1.0,0.0,0.0,31.0,1214.0,24.0,0.0,1.0,5686.0,62.0,16500.0,0.0,0.0,0.0,1.0,1676.0,2066.0,84.1,0.0,0.0,31.0,84.0,23.0,23.0,0.0,32.0,,,,0.0,5.0,7.0,5.0,5.0,1.0,7.0,7.0,7.0,8.0,0.0,0.0,0.0,0.0,100.0,60.0,0.0,0.0,21500.0,13404.0,13000.0,5000.0,,,,,,,,,,,,,,N,,,,Cash,N,,,,,,
2318,2318,7200.0,7200.0,7200.0, 36 months,15.77,252.32,D,D1,GENERAL MERCHANDISE MANAGER,4 years,MORTGAGE,54000.0,Verified,Dec-2015,n,debt_consolidation,NC,33.56,0.0,Nov-2005,660.0,664.0,1.0,,,25.0,0.0,27771.0,44.0,39.0,w,Mar-2019,0.0,52.0,1.0,Individual,,,,0.0,397.0,149530.0,4.0,1.0,0.0,1.0,14.0,4688.0,67.0,7.0,10.0,9640.0,44.0,63621.0,0.0,1.0,5.0,12.0,6796.0,2750.0,74.0,0.0,0.0,105.0,121.0,0.0,0.0,2.0,0.0,,5.0,,0.0,9.0,20.0,11.0,13.0,5.0,20.0,32.0,17.0,22.0,,0.0,0.0,8.0,95.0,55.6,0.0,0.0,188539.0,32459.0,24750.0,7015.0,,,,,,,,,,,,,,N,,,,Cash,N,,,,,,
3428,3428,25000.0,25000.0,25000.0, 36 months,7.91,782.38,A,A5,Director of Utilities,10+ years,MORTGAGE,151000.0,Not Verified,Dec-2015,n,debt_consolidation,LA,12.49,0.0,Jan-1993,715.0,719.0,0.0,25.0,,7.0,0.0,19513.0,71.2,18.0,f,Mar-2019,0.0,,1.0,Individual,,,,0.0,0.0,210143.0,0.0,0.0,0.0,0.0,84.0,0.0,,1.0,2.0,12027.0,71.0,27400.0,0.0,0.0,1.0,2.0,30020.0,873.0,93.2,0.0,0.0,134.0,256.0,9.0,9.0,1.0,83.0,,9.0,,0.0,1.0,5.0,1.0,3.0,4.0,5.0,12.0,5.0,7.0,0.0,0.0,0.0,1.0,94.4,100.0,0.0,0.0,271082.0,55499.0,12900.0,0.0,,,,,,,,,,,,,,N,,,,Cash,N,,,,,,
7409,7409,16800.0,16800.0,16800.0, 36 months,9.76,540.2,B,B3,Intelligence Specialist,2 years,RENT,93851.0,Source Verified,Dec-2015,n,debt_consolidation,VA,4.42,0.0,Aug-2008,760.0,764.0,0.0,,,2.0,0.0,2423.0,9.9,4.0,w,Mar-2019,0.0,,1.0,Individual,,,,0.0,0.0,2423.0,0.0,0.0,1.0,2.0,11.0,0.0,,0.0,1.0,1505.0,10.0,24500.0,0.0,0.0,0.0,3.0,1212.0,22077.0,9.9,0.0,0.0,14.0,88.0,20.0,11.0,0.0,20.0,,,,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,24500.0,2423.0,24500.0,0.0,,,,,,,,,,,,,,N,,,,Cash,N,,,,,,
